date,hour,pwv_rad,pwv_ours,pwv_gpt3,zwd
2019-05-15,0,51.436,59.732,59.280,367.582
2019-05-16,0,38.029,47.123,46.785,289.987
2019-05-18,0,39.189,34.480,34.260,212.183
2019-05-19,0,57.324,55.817,55.482,343.488
2019-05-20,0,32.530,35.331,35.133,217.424
2019-05-21,0,25.618,26.361,26.224,162.224
2019-05-22,0,17.345,15.970,15.893,98.278
2019-05-23,0,17.481,15.269,15.201,93.962
2019-05-24,0,32.500,31.470,31.341,193.659
2019-05-25,0,56.364,55.676,55.469,342.618
2019-05-26,0,50.786,53.602,53.423,329.858
2019-05-27,0,34.435,28.070,27.987,172.742
2019-05-28,0,35.319,36.367,36.272,223.798
2019-05-29,0,43.089,43.807,43.709,269.582
2019-05-30,0,49.546,51.841,51.743,319.020
2019-05-31,0,39.065,39.714,39.653,244.395
2019-06-01,0,40.474,40.579,39.956,246.173
2019-06-02,0,30.645,29.286,28.846,177.663
2019-06-03,0,32.569,23.841,23.491,144.631
2019-06-04,0,32.632,27.098,26.710,164.393
2019-06-05,0,38.975,36.553,36.041,221.750
2019-06-06,0,46.303,44.158,43.553,267.885
2019-06-07,0,43.959,42.816,42.244,259.745
2019-06-08,0,56.710,56.726,55.985,344.127
2019-06-10,0,58.767,49.745,49.127,301.777
2019-06-11,0,41.392,39.679,39.198,240.714
2019-06-12,0,50.396,45.694,45.154,277.202
2019-06-13,0,43.912,42.232,41.746,256.200
2019-06-14,0,25.785,24.071,23.801,146.025
2019-06-15,0,29.436,25.946,25.662,157.401
2019-06-16,0,55.464,54.007,53.433,327.636
2019-06-18,0,65.543,73.272,72.534,444.509
2019-06-19,0,69.179,69.887,69.202,423.972
2019-06-20,0,73.522,68.021,67.372,412.652
2019-06-21,0,59.751,73.298,72.618,444.665
2019-06-22,0,70.689,70.662,70.024,428.671
2019-06-23,0,39.971,32.142,31.861,194.993
2019-06-24,0,31.919,28.441,28.199,172.541
2019-06-25,0,47.627,47.943,47.546,290.847
2019-06-26,0,48.297,45.968,45.599,278.869
2019-06-27,0,56.579,54.672,54.245,331.666
2019-06-28,0,71.701,70.197,69.666,425.854
2019-06-29,0,69.558,68.260,67.758,414.100
2019-06-30,0,53.953,52.094,51.722,316.029
2019-07-01,0,53.002,46.800,46.093,281.574
2019-07-02,0,42.269,41.302,40.686,248.493
2019-07-03,0,53.114,49.944,49.209,300.486
2019-07-04,0,63.879,63.097,62.181,379.628
2019-07-05,0,54.823,55.378,54.585,333.186
2019-07-06,0,46.909,41.726,41.135,251.042
2019-07-07,0,43.688,35.906,35.404,216.031
2019-07-08,0,51.897,53.577,52.836,322.344
2019-07-09,0,56.543,57.214,56.433,344.230
2019-07-10,0,42.424,44.470,43.870,267.556
2019-07-11,0,46.111,43.542,42.961,261.973
2019-07-12,0,63.095,63.799,62.956,383.846
2019-07-14,0,42.633,36.347,35.876,218.680
2019-07-15,0,37.738,35.841,35.382,215.641
2019-07-16,0,58.637,60.605,59.835,364.633
2019-07-17,0,73.745,71.068,70.173,427.582
2019-07-18,0,70.899,71.689,70.794,431.320
2019-07-19,0,68.155,60.934,60.178,366.608
2019-07-20,0,61.308,53.709,53.048,323.143
2019-07-21,0,66.326,64.333,63.545,387.060
2019-07-22,0,75.450,66.971,66.156,402.933
2019-07-23,0,68.848,66.602,65.796,400.713
2019-07-24,0,68.592,64.859,64.077,390.225
2019-07-26,0,66.445,63.732,62.970,383.444
2019-07-27,0,54.413,53.518,52.880,321.992
2019-07-28,0,59.938,56.696,56.021,341.114
2019-07-29,0,61.053,58.299,57.606,350.759
2019-07-30,0,60.144,59.977,59.264,360.853
2019-07-31,0,63.116,56.949,56.273,342.637
2019-08-01,0,55.677,55.091,54.554,332.177
2019-08-02,0,61.615,58.221,57.653,351.050
2019-08-04,0,58.512,51.987,51.478,313.467
2019-08-05,0,60.453,54.791,54.251,330.369
2019-08-06,0,58.608,55.848,55.295,336.745
2019-08-07,0,59.962,58.071,57.492,350.146
2019-08-08,0,63.553,60.514,59.907,364.879
2019-08-09,0,53.617,48.858,48.363,294.593
2019-08-10,0,54.762,45.992,45.523,277.317
2019-08-11,0,45.515,41.000,40.578,247.214
2019-08-12,0,48.536,43.165,42.716,260.269
2019-08-13,0,50.652,43.248,42.794,260.774
2019-08-14,0,55.595,51.688,51.138,311.662
2019-08-16,0,36.529,34.316,33.941,206.912
2019-08-17,0,40.792,36.231,35.830,218.458
2019-08-18,0,52.371,51.788,51.207,312.263
2019-08-19,0,41.831,34.438,34.046,207.652
2019-08-20,0,46.729,39.659,39.200,239.132
2019-08-21,0,48.704,48.616,48.044,293.139
2019-08-22,0,52.815,52.878,52.246,318.838
2019-08-23,0,61.697,61.574,60.825,371.271
2019-08-24,0,56.732,57.326,56.616,345.656
2019-08-25,0,48.736,50.181,49.548,302.575
2019-08-26,0,67.559,64.243,63.418,387.363
2019-08-27,0,60.073,54.499,53.786,328.611
2019-08-28,0,59.207,70.491,69.550,425.035
2019-08-29,0,48.230,40.998,40.440,247.203
2019-08-30,0,27.176,25.037,24.690,150.965
2019-08-31,0,28.817,27.342,26.955,164.864
2019-09-02,0,41.883,48.018,48.142,294.626
2019-09-03,0,41.284,39.782,39.872,244.091
2019-09-04,0,38.965,36.099,36.169,221.492
2019-09-05,0,47.099,46.169,46.243,283.281
2019-09-06,0,38.851,34.253,34.296,210.164
2019-09-07,0,29.250,24.303,24.325,149.118
2019-09-08,0,40.250,30.181,30.198,185.185
2019-09-09,0,48.199,32.289,32.295,198.114
2019-09-11,0,52.993,52.790,52.759,323.902
2019-09-12,0,50.896,48.117,48.069,295.229
2019-09-13,0,53.045,46.821,46.756,287.277
2019-09-14,0,53.441,55.457,55.357,340.265
2019-09-15,0,47.392,54.723,54.602,335.766
2019-09-16,0,48.483,50.779,50.645,311.564
2019-09-17,0,46.925,51.167,51.009,313.944
2019-09-18,0,57.553,58.297,58.090,357.688
2019-09-19,0,43.159,40.337,40.177,247.497
2019-09-20,0,38.163,37.634,37.467,230.912
2019-09-21,0,29.181,24.360,24.241,149.469
2019-09-23,0,19.618,19.414,19.300,119.119
2019-09-24,0,21.248,18.461,18.344,113.272
2019-09-25,0,36.319,32.934,32.708,202.074
2019-09-27,0,22.019,22.066,21.892,135.387
2019-09-28,0,29.428,25.335,25.122,155.448
2019-09-29,0,23.438,22.330,22.131,137.009
2019-09-30,0,26.550,22.204,21.994,136.238
2019-10-01,0,30.787,17.090,17.184,106.500
2019-10-02,0,36.013,30.525,30.677,190.230
2019-10-03,0,40.828,33.230,33.377,207.087
2019-10-04,0,46.687,36.514,36.656,227.553
2019-10-05,0,54.749,47.660,47.817,297.012
2019-10-07,0,33.701,38.931,39.015,242.613
2019-10-08,0,36.117,37.786,37.845,235.478
2019-10-09,0,39.729,39.073,39.111,243.497
2019-10-10,0,47.821,45.751,45.769,285.118
2019-10-11,0,51.918,49.093,49.083,305.942
2019-10-13,0,40.518,37.143,37.091,231.474
2019-10-14,0,38.876,39.500,39.420,246.158
2019-10-15,0,31.302,35.739,35.645,222.720
2019-10-16,0,37.286,38.575,38.451,240.394
2019-10-17,0,22.231,24.512,24.418,152.756
2019-10-18,0,12.647,16.212,16.140,101.031
2019-10-20,0,13.975,11.532,11.467,71.868
2019-10-22,0,29.842,23.307,23.146,145.249
2019-10-23,0,27.217,23.340,23.164,145.455
2019-10-24,0,20.150,22.200,22.019,138.349
2019-10-25,0,34.728,34.513,34.209,215.083
2019-10-26,0,32.243,32.889,32.579,204.963
2019-10-27,0,29.222,31.759,31.439,197.916
2019-10-28,0,13.553,14.759,14.601,91.974
2019-10-29,0,14.697,12.236,12.098,76.255
2019-10-30,0,5.735,13.721,13.558,85.509
2019-10-31,0,9.561,11.998,11.847,74.769
2019-11-01,0,21.423,14.769,14.798,93.452
2019-11-03,0,15.114,13.536,13.546,85.653
2019-11-04,0,15.770,16.293,16.295,103.097
2019-11-05,0,17.974,18.097,18.088,114.514
2019-11-06,0,22.676,22.730,22.705,143.830
2019-11-07,0,16.306,19.021,18.988,120.361
2019-11-08,0,15.526,17.288,17.247,109.391
2019-11-09,0,17.500,14.338,14.296,90.727
2019-11-10,0,17.982,11.399,11.358,72.130
2019-11-12,0,27.748,29.746,29.604,188.222
2019-11-13,0,29.708,26.496,26.353,167.655
2019-11-14,0,3.857,9.570,9.512,60.553
2019-11-15,0,12.198,8.190,8.137,51.825
2019-11-16,0,32.485,22.991,22.827,145.481
2019-11-17,0,36.799,33.196,32.940,210.051
2019-11-18,0,19.500,20.211,20.044,127.888
2019-11-20,0,14.976,15.211,15.068,96.251
2019-11-21,0,21.753,22.745,22.519,143.920
2019-11-22,0,11.973,18.856,18.658,119.313
2019-11-23,0,26.111,24.169,23.902,152.930
2019-11-25,0,24.085,31.245,30.868,197.705
2019-11-26,0,24.994,31.100,30.708,196.787
2019-11-27,0,24.164,30.930,30.525,195.711
2019-11-29,0,19.186,18.894,18.629,119.557
2019-11-30,0,25.550,25.225,24.858,159.613
2019-12-01,0,20.214,20.428,20.427,131.227
2019-12-02,0,6.053,13.079,13.072,84.015
2019-12-04,0,9.401,12.108,12.091,77.782
2019-12-05,0,4.648,10.682,10.662,68.618
2019-12-06,0,9.934,11.534,11.508,74.096
2019-12-07,0,6.229,11.936,11.903,76.673
2019-12-08,0,7.497,13.048,13.007,83.817
2019-12-09,0,4.030,10.965,10.926,70.435
2019-12-10,0,4.571,8.601,8.567,55.252
2019-01-01,12,17.897,20.453,20.414,132.443
2019-01-03,12,20.032,21.351,21.306,138.257
2019-01-04,12,13.906,15.567,15.533,100.803
2019-01-05,12,10.997,10.457,10.433,67.713
2019-01-06,12,14.821,16.697,16.657,108.121
2019-01-07,12,11.663,13.219,13.187,85.601
2019-01-08,12,26.821,27.877,27.809,180.520
2019-01-09,12,21.097,19.950,19.900,129.187
2019-01-10,12,20.057,17.597,17.553,113.951
2019-01-11,12,14.069,10.735,10.707,69.512
2019-01-13,12,15.615,16.139,16.098,104.508
2019-01-14,12,19.506,18.689,18.642,121.019
2019-01-15,12,11.685,13.714,13.680,88.802
2019-01-16,12,8.168,6.449,6.434,41.764
2019-01-17,12,8.359,6.320,6.305,40.923
2019-01-18,12,13.097,11.594,11.568,75.080
2019-01-19,12,15.557,12.811,12.783,82.957
2019-01-20,12,9.204,11.131,11.108,72.082
2019-01-21,12,7.677,6.441,6.428,41.711
2019-01-22,12,5.350,1.356,1.353,8.778
2019-01-23,12,8.845,2.844,2.839,18.416
2019-01-24,12,13.637,10.999,10.981,71.226
2019-01-25,12,12.271,13.831,13.811,89.565
2019-01-26,12,14.007,14.871,14.852,96.300
2019-01-27,12,18.233,15.638,15.620,101.265
2019-01-28,12,19.144,19.193,19.174,124.284
2019-01-29,12,26.136,22.734,22.716,147.215
2019-01-30,12,27.411,23.054,23.040,149.285
2019-02-01,12,15.691,13.032,12.977,84.044
2019-02-02,12,21.843,17.859,17.787,115.175
2019-02-03,12,9.461,8.271,8.240,53.344
2019-02-04,12,15.472,12.785,12.740,82.450
2019-02-05,12,13.638,8.880,8.851,57.268
2019-02-06,12,29.332,20.884,20.821,134.681
2019-02-07,12,27.172,24.060,23.994,155.165
2019-02-08,12,21.669,20.812,20.761,134.220
2019-02-09,12,17.064,19.043,19.002,122.811
2019-02-10,12,16.581,18.087,18.054,116.648
2019-02-11,12,19.226,16.907,16.881,109.038
2019-02-12,12,13.994,17.330,17.309,111.765
2019-02-13,12,19.474,19.972,19.954,128.804
2019-02-14,12,21.861,22.055,22.042,142.238
2019-02-15,12,21.422,21.491,21.486,138.601
2019-02-16,12,15.037,17.174,17.176,110.758
2019-02-17,12,23.063,21.787,21.797,140.510
2019-02-18,12,20.100,19.194,19.209,123.782
2019-02-21,12,20.962,20.423,20.462,131.710
2019-02-22,12,13.052,12.746,12.776,82.204
2019-02-23,12,14.232,14.453,14.492,93.208
2019-02-24,12,18.664,15.672,15.721,101.075
2019-02-25,12,17.013,17.226,17.286,111.094
2019-02-26,12,21.059,20.048,20.126,129.291
2019-02-27,12,18.252,17.878,17.955,115.299
2019-02-28,12,21.852,20.482,20.579,132.094
2019-03-01,12,26.381,26.166,25.893,166.134
2019-03-02,12,16.125,15.871,15.712,100.768
2019-03-03,12,10.212,8.119,8.041,51.546
2019-03-04,12,17.159,14.380,14.248,91.302
2019-03-05,12,25.669,22.757,22.558,144.486
2019-03-06,12,15.396,12.516,12.412,79.465
2019-03-07,12,12.252,12.589,12.490,79.929
2019-03-08,12,19.132,17.907,17.774,113.697
2019-03-09,12,15.832,14.494,14.393,92.025
2019-03-10,12,9.709,7.646,7.596,48.547
2019-03-11,12,13.093,9.644,9.585,61.231
2019-03-12,12,8.131,5.095,5.067,32.350
2019-03-13,12,26.763,25.839,25.706,164.056
2019-03-14,12,13.981,14.881,14.811,94.480
2019-03-15,12,11.953,9.882,9.840,62.741
2019-03-16,12,12.749,11.576,11.532,73.495
2019-03-17,12,26.980,26.739,26.651,169.769
2019-03-18,12,16.429,11.707,11.674,74.328
2019-03-19,12,36.853,33.158,33.080,210.523
2019-03-20,12,27.052,16.447,16.416,104.421
2019-03-21,12,28.971,26.591,26.554,168.829
2019-03-22,12,24.799,26.208,26.184,166.398
2019-03-23,12,14.510,16.497,16.490,104.744
2019-03-24,12,24.805,25.094,25.095,159.325
2019-03-25,12,12.842,11.500,11.506,73.017
2019-03-26,12,28.436,22.559,22.581,143.228
2019-03-27,12,24.480,24.540,24.576,155.808
2019-03-28,12,26.675,20.615,20.656,130.889
2019-03-29,12,23.070,18.254,18.299,115.898
2019-03-30,12,22.748,23.318,23.387,148.050
2019-03-31,12,15.380,14.877,14.928,94.455
2019-04-01,12,18.161,15.367,15.170,95.944
2019-04-05,12,22.036,14.826,14.664,92.561
2019-04-06,12,17.602,14.914,14.759,93.117
2019-04-07,12,20.134,17.401,17.228,108.642
2019-04-08,12,42.343,33.643,33.324,210.043
2019-04-09,12,30.909,31.901,31.614,199.170
2019-04-10,12,34.795,33.186,32.903,207.190
2019-04-11,12,15.098,15.695,15.568,97.987
2019-04-12,12,17.649,18.529,18.389,115.685
2019-04-13,12,31.509,30.169,29.955,188.359
2019-04-14,12,19.566,19.206,19.078,119.908
2019-04-16,12,15.778,10.983,10.920,68.570
2019-04-17,12,21.448,12.011,11.948,74.989
2019-04-19,12,37.902,34.073,33.926,212.730
2019-04-20,12,49.011,42.736,42.572,266.817
2019-04-21,12,41.932,39.352,39.219,245.689
2019-04-22,12,40.844,39.978,39.861,249.595
2019-04-23,12,36.128,34.242,34.157,213.784
2019-04-24,12,44.172,36.466,36.393,227.673
2019-04-25,12,32.227,30.017,29.970,187.404
2019-04-26,12,32.568,34.198,34.160,213.509
2019-04-27,12,36.494,37.513,37.488,234.207
2019-04-28,12,47.122,49.855,49.845,311.262
2019-04-29,12,40.415,40.063,40.072,250.125
2019-04-30,12,33.323,29.540,29.560,184.430
2019-05-01,12,20.590,16.731,16.510,102.959
2019-05-02,12,28.769,23.726,23.422,146.004
2019-05-03,12,25.891,23.511,23.220,144.681
2019-05-04,12,37.672,33.564,33.164,206.549
2019-05-05,12,39.273,35.613,35.203,219.158
2019-05-06,12,29.689,31.333,30.985,192.815
2019-05-07,12,30.257,31.442,31.107,193.488
2019-05-08,12,26.436,21.323,21.105,131.218
2019-05-09,12,32.688,27.619,27.348,169.963
2019-05-10,12,28.320,21.402,21.201,131.705
2019-05-11,12,29.476,24.970,24.746,153.663
2019-05-12,12,47.706,44.821,44.436,275.819
2019-05-13,12,25.000,40.444,40.114,248.889
2019-05-14,12,55.477,54.743,54.318,336.882
2019-05-15,12,46.103,46.602,46.258,286.781
2019-05-16,12,54.117,49.320,48.976,303.510
2019-05-18,12,61.288,56.018,55.672,344.728
2019-05-19,12,51.751,47.175,46.901,290.307
2019-05-20,12,24.041,23.064,22.939,141.933
2019-05-21,12,28.782,24.892,24.767,153.180
2019-05-22,12,19.020,12.563,12.504,77.308
2019-05-23,12,19.989,10.201,10.157,62.773
2019-05-24,12,46.694,42.971,42.803,264.435
2019-05-25,12,67.433,60.787,60.573,374.076
2019-05-27,12,34.400,30.507,30.422,187.737
2019-05-28,12,37.879,37.985,37.893,233.757
2019-05-29,12,49.951,48.699,48.599,299.689
2019-05-30,12,47.022,47.439,47.358,291.933
2019-05-31,12,40.054,38.563,38.511,237.314
2019-06-01,12,39.635,36.867,36.307,223.656
2019-06-02,12,24.025,21.079,20.766,127.877
2019-06-03,12,37.098,27.841,27.437,168.900
2019-06-05,12,64.504,61.493,60.641,373.047
2019-06-06,12,42.492,40.808,40.256,247.562
2019-06-07,12,47.236,44.730,44.139,271.354
2019-06-08,12,59.810,51.986,51.316,315.373
2019-06-09,12,49.290,42.083,41.553,255.294
2019-06-10,12,46.019,43.894,43.356,266.284
2019-06-11,12,45.356,41.625,41.127,252.517
2019-06-12,12,55.285,50.819,50.226,308.294
2019-06-13,12,43.541,39.333,38.886,238.614
2019-06-14,12,31.997,21.987,21.744,133.385
2019-06-15,12,38.385,33.741,33.377,204.690
2019-06-16,12,62.287,62.033,61.381,376.322
2019-06-17,12,66.040,72.717,71.974,441.137
2019-06-18,12,66.974,68.980,68.294,418.470
2019-06-19,12,66.613,66.802,66.156,405.254
2019-06-20,12,76.147,73.354,72.664,445.005
2019-06-21,12,68.314,72.416,71.754,439.315
2019-06-22,12,57.015,54.603,54.117,331.250
2019-06-23,12,38.943,33.258,32.971,201.760
2019-06-24,12,44.091,41.800,41.449,253.578
2019-06-25,12,45.933,46.516,46.136,282.188
2019-06-26,12,51.496,43.781,43.434,265.598
2019-06-27,12,64.387,59.871,59.410,363.207
2019-06-28,12,55.266,74.160,73.606,449.891
2019-06-29,12,69.995,67.202,66.715,407.682
2019-06-30,12,53.414,50.328,49.974,305.315
2019-07-01,12,42.449,36.895,36.341,221.980
2019-07-02,12,48.792,41.467,40.853,249.486
2019-07-03,12,54.936,47.713,47.016,287.066
2019-07-04,12,66.495,58.389,57.546,351.296
2019-07-05,12,49.301,46.210,45.552,278.024
2019-07-06,12,40.325,33.714,33.240,202.842
2019-07-07,12,39.533,36.460,35.953,219.359
2019-07-08,12,59.399,59.794,58.973,359.750
2019-07-09,12,50.278,49.476,48.805,297.674
2019-07-10,12,46.484,43.125,42.546,259.462
2019-07-11,12,54.397,51.351,50.670,308.956
2019-07-12,12,65.588,66.218,65.348,398.400
2019-07-13,12,45.305,40.482,39.955,243.559
2019-07-14,12,36.814,31.744,31.336,190.991
2019-07-15,12,50.891,51.199,50.545,308.038
2019-07-16,12,64.050,62.833,62.038,378.034
2019-07-17,12,78.098,72.667,71.755,437.202
2019-07-18,12,73.050,74.145,73.222,446.094
2019-07-19,12,57.762,52.162,51.517,313.835
2019-07-20,12,64.238,56.575,55.880,340.382
2019-07-21,12,63.425,58.547,57.833,352.252
2019-07-22,12,65.175,65.879,65.080,396.362
2019-07-23,12,73.729,70.083,69.236,421.654
2019-07-24,12,81.869,67.894,67.078,408.486
2019-07-25,12,59.378,60.160,59.440,361.957
2019-07-26,12,61.671,56.722,56.045,341.269
2019-07-27,12,63.244,55.877,55.212,336.187
2019-07-28,12,57.371,57.469,56.785,345.763
2019-07-29,12,64.940,65.768,64.986,395.695
2019-07-30,12,57.775,59.633,58.925,358.783
2019-07-31,12,58.339,57.718,57.032,347.262
2019-08-01,12,56.608,50.687,50.193,305.623
2019-08-02,12,62.330,57.025,56.468,343.841
2019-08-03,12,58.636,57.172,56.612,344.725
2019-08-04,12,56.097,50.282,49.787,303.182
2019-08-05,12,57.012,49.677,49.187,299.538
2019-08-06,12,62.544,54.163,53.625,326.584
2019-08-07,12,63.087,57.895,57.316,349.088
2019-08-08,12,66.294,59.612,59.012,359.441
2019-08-09,12,63.728,51.565,51.041,310.919
2019-08-10,12,64.719,57.320,56.733,345.621
2019-08-11,12,50.698,42.220,41.783,254.572
2019-08-12,12,47.902,40.636,40.211,245.023
2019-08-13,12,58.401,52.506,51.950,316.590
2019-08-14,12,53.899,46.499,46.001,280.373
2019-08-16,12,35.023,23.156,22.902,139.624
2019-08-17,12,55.559,50.171,49.612,302.516
2019-08-18,12,52.003,38.828,38.388,234.117
2019-08-19,12,42.662,39.990,39.531,241.126
2019-08-20,12,49.845,43.979,43.466,265.178
2019-08-21,12,52.930,48.597,48.021,293.023
2019-08-22,12,62.263,60.764,60.031,366.385
2019-08-23,12,65.012,60.545,59.802,365.065
2019-08-24,12,56.435,52.389,51.734,315.887
2019-08-25,12,62.328,63.694,62.883,384.053
2019-08-26,12,69.625,63.180,62.361,380.954
2019-08-27,12,63.869,62.357,61.533,375.990
2019-08-28,12,58.374,54.287,53.555,327.328
2019-08-29,12,34.444,34.257,33.787,206.560
2019-08-30,12,31.171,25.068,24.717,151.153
2019-08-31,12,46.503,44.671,44.031,269.348
2019-09-01,12,47.428,44.823,44.945,275.021
2019-09-02,12,41.446,43.866,43.972,269.147
2019-09-03,12,42.767,36.079,36.154,221.367
2019-09-04,12,48.647,43.531,43.608,267.091
2019-09-05,12,43.131,36.179,36.231,221.985
2019-09-06,12,39.858,31.955,31.990,196.067
2019-09-07,12,34.111,19.809,19.824,121.543
2019-09-08,12,38.617,22.266,22.274,136.616
2019-09-09,12,42.678,29.533,29.532,181.202
2019-09-11,12,59.011,46.530,46.494,285.495
2019-09-12,12,51.400,42.694,42.643,261.954
2019-09-13,12,61.801,51.760,51.678,317.584
