method,RMSE,MAE,R2,Bias,N
raw,0.065259,0.037037,0.999984,0.007734,113294
global_correct,0.064799,0.038128,0.999985,0.000000,113294
station_loo_correct,0.053382,0.033001,0.999990,-0.000000,113294
