Method,RMSE,MAE,R2,Bias,Rel_RMSE_pct,N
Saastamoinen (full),7.127321,4.944256,0.812909,-1.025539,32.364013,113294
Saastamoinen (Pi-only),0.254647,0.154878,0.999761,0.098089,1.156312,113294
ProfileTransformer,0.060911,0.036566,0.999986,0.001845,0.276588,113294
